Task Number,Task Description,Abstract
Response SCH1,"The article ""Confidence Limits on Phylogenies: An Approach Using the Bootstrap"" discusses a statistical method known as ""bootstrap"" for placing confidence intervals on phylogenies. This method involves resampling points from one's own data, with replacement, to create a series of bootstrap samples of the same size as the original data【6†source】【7†source】. Specifically, in the context of phylogenies, it is suggested that the correct resampling method is to maintain all the original species while sampling characters with replacement. This approach is based on the assumption that the characters have been independently chosen by the systematist and have evolved independently【8†source】.

The bootstrap method, being a non-parametric statistical analysis, is widely used to assess confidence limits on phylogenies, particularly in testing the monophyly of individual clades【9†source】. The article also discusses additional applications of the bootstrap method, which provide valuable insights into phylogeny, even when many clades are not supported with confidence. It distinguishes between hypotheses about membership in specific clades and hypotheses about entire topologies【10†source】.

In summary, this article introduces and elaborates on the bootstrap method as a robust statistical tool for providing confidence intervals in phylogenetic studies, emphasizing its significance in understanding and interpreting the evolutionary relationships among species.

【6†source】https://pubmed.ncbi.nlm.nih.gov/28561359/#:~:text=CONFIDENCE%20LIMITS%20ON%20PHYLOGENIES%3A%20AN,size%20as%20the%20original%20data 
【7†source】https://www.jstor.org/stable/2408678#:~:text=Abstract.%20,size%20as%20the%20original%20data 
【8†source】https://europepmc.org/abstract/MED/28561359#:~:text=In%20the%20case%20of%20phylogenies%2C,systematist%20and%20have%20evolved%20independently 
【9†source】https://pubmed.ncbi.nlm.nih.gov/34933499/#:~:text=CONFIDENCE%20LIMITS%20ON%20PHYLOGENIES%3A%20THE,the%20monophyly%20of%20individual%20clades 
【10†source】https://www.semanticscholar.org/paper/CONFIDENCE-LIMITS-ON-PHYLOGENIES%3A-THE-BOOTSTRAP-Sanderson1/db727c00933dd37a377c4b08522a7b109379ff0a#:~:text=Additional%20applications%20of%20the%20bootstrap,be%20used%20to%20assess","The recently-developed statistical method known as the ""bootstrap"" can be used to place confidence intervals on phylogenies. Itinvolves resampling points from one's own data, with replacement, tocreate a series of bootstrap samples of the same size as the original data. Each of these is analyzed, and the variation among the resulting estimates taken to indicate the size of the error involved in making estimates from the original data. In the case of phylogenies, it is argued that the proper method of resampling isto keep all of the original species while sampling characters with replacement, under the assumption that the characters have been independently drawn by the systematist and have evolved independently. Majority-rule consensus trees can be used to construct a phylogeny showing all of the inferred monophyletic groups that occurred in a majority of the bootstrap samples. If a group shows up 95% of the time or more, the evidence for it is taken to be statistically significant. Existing computer programs can be used to analyze different bootstrap samples by using weights on the characters, the weight of a character being how many times it was drawn in bootstrap sampling. When all characters are perfectly compatible, as envisioned by Hennig, bootstrap sampling becomes unnecessary; the bootstrap method would show significant evidence for a group if it is defined by three or more character"
Response SCH2,"The article ""Confidence Limits on Phylogenies: An Approach Using the Bootstrap"" introduces and elaborates on the use of the bootstrap statistical method for determining confidence intervals in phylogenetic studies. This method involves resampling data points from the original dataset with replacement to create new bootstrap samples of the same size. In phylogenetic contexts, the appropriate resampling approach is to retain all original species while sampling characters with replacement, under the assumption that these characters have been independently selected and have evolved independently.

The bootstrap method, as a non-parametric statistical analysis, is particularly useful in testing the monophyly of individual clades within phylogenies. Additionally, the article proposes further applications of the bootstrap method, providing valuable insights into phylogenetic relationships even when many clades are not supported with high confidence. This approach also helps in differentiating between hypotheses about membership in specific clades and those concerning entire phylogenetic topologies. Overall, the article underscores the significance of the bootstrap method in enhancing the understanding and interpretation of evolutionary relationships among species.","The recently-developed statistical method known as the ""bootstrap"" can be used to place confidence intervals on phylogenies. Itinvolves resampling points from one's own data, with replacement, tocreate a series of bootstrap samples of the same size as the original data. Each of these is analyzed, and the variation among the resulting estimates taken to indicate the size of the error involved in making estimates from the original data. In the case of phylogenies, it is argued that the proper method of resampling isto keep all of the original species while sampling characters with replacement, under the assumption that the characters have been independently drawn by the systematist and have evolved independently. Majority-rule consensus trees can be used to construct a phylogeny showing all of the inferred monophyletic groups that occurred in a majority of the bootstrap samples. If a group shows up 95% of the time or more, the evidence for it is taken to be statistically significant. Existing computer programs can be used to analyze different bootstrap samples by using weights on the characters, the weight of a character being how many times it was drawn in bootstrap sampling. When all characters are perfectly compatible, as envisioned by Hennig, bootstrap sampling becomes unnecessary; the bootstrap method would show significant evidence for a group if it is defined by three or more character"
Response SCH3,"The article ""Confidence Limits on Phylogenies: An Approach Using the Bootstrap"" discusses a statistical method known as ""bootstrap"" for placing confidence intervals on phylogenies. This method involves resampling points from one's own data, with replacement, to create a series of bootstrap samples of the same size as the original data. In the context of phylogenies, the proper method of resampling is to keep all the original species while sampling characters with replacement, assuming that the characters have been independently drawn by the systematist and have evolved independently.

The bootstrap, as a non-parametric statistical analysis, is widely used to assess confidence limits on phylogenies, particularly in testing the monophyly of individual clades. The article also proposes additional applications of the bootstrap method, which provide valuable insights into phylogeny, even when many clades are not supported with confidence. It distinguishes between hypotheses about membership in specific clades and hypotheses about entire topologies, highlighting the method's significance in understanding and interpreting evolutionary relationships among species.","The recently-developed statistical method known as the ""bootstrap"" can be used to place confidence intervals on phylogenies. Itinvolves resampling points from one's own data, with replacement, tocreate a series of bootstrap samples of the same size as the original data. Each of these is analyzed, and the variation among the resulting estimates taken to indicate the size of the error involved in making estimates from the original data. In the case of phylogenies, it is argued that the proper method of resampling isto keep all of the original species while sampling characters with replacement, under the assumption that the characters have been independently drawn by the systematist and have evolved independently. Majority-rule consensus trees can be used to construct a phylogeny showing all of the inferred monophyletic groups that occurred in a majority of the bootstrap samples. If a group shows up 95% of the time or more, the evidence for it is taken to be statistically significant. Existing computer programs can be used to analyze different bootstrap samples by using weights on the characters, the weight of a character being how many times it was drawn in bootstrap sampling. When all characters are perfectly compatible, as envisioned by Hennig, bootstrap sampling becomes unnecessary; the bootstrap method would show significant evidence for a group if it is defined by three or more character"
Response SCH4,"The article ""Confidence Limits on Phylogenies: An Approach Using the Bootstrap"" introduces and discusses the bootstrap method for establishing confidence intervals on phylogenetic trees. This method involves resampling data points from the original dataset with replacement to create a series of bootstrap samples of the same size as the original data. In the context of phylogenies, the recommended resampling method is to keep all original species while sampling characters with replacement, based on the assumption that these characters have been independently selected by the systematist and have evolved independently.

The bootstrap method, a non-parametric statistical technique, is primarily used to test the monophyly of individual clades in phylogenetic studies. The article also explores additional applications of the bootstrap method, offering insights into phylogenetic relationships, even in cases where many clades are not supported with high confidence. It distinguishes between hypotheses regarding membership in particular clades and those concerning entire phylogenetic topologies. Overall, the article highlights the importance of the bootstrap method in improving the understanding and interpretation of evolutionary relationships among species.","The recently-developed statistical method known as the ""bootstrap"" can be used to place confidence intervals on phylogenies. Itinvolves resampling points from one's own data, with replacement, tocreate a series of bootstrap samples of the same size as the original data. Each of these is analyzed, and the variation among the resulting estimates taken to indicate the size of the error involved in making estimates from the original data. In the case of phylogenies, it is argued that the proper method of resampling isto keep all of the original species while sampling characters with replacement, under the assumption that the characters have been independently drawn by the systematist and have evolved independently. Majority-rule consensus trees can be used to construct a phylogeny showing all of the inferred monophyletic groups that occurred in a majority of the bootstrap samples. If a group shows up 95% of the time or more, the evidence for it is taken to be statistically significant. Existing computer programs can be used to analyze different bootstrap samples by using weights on the characters, the weight of a character being how many times it was drawn in bootstrap sampling. When all characters are perfectly compatible, as envisioned by Hennig, bootstrap sampling becomes unnecessary; the bootstrap method would show significant evidence for a group if it is defined by three or more character"
Response SCH5,"The article ""Confidence Limits on Phylogenies: An Approach Using the Bootstrap"" introduces and discusses the bootstrap method for establishing confidence intervals on phylogenetic trees. This method involves resampling data points from the original dataset with replacement to create a series of bootstrap samples of the same size as the original data. In the context of phylogenies, the recommended resampling method is to keep all original species while sampling characters with replacement, based on the assumption that these characters have been independently selected by the systematist and have evolved independently.

The bootstrap method, a non-parametric statistical technique, is primarily used to test the monophyly of individual clades in phylogenetic studies. The article also explores additional applications of the bootstrap method, offering insights into phylogenetic relationships, even in cases where many clades are not supported with high confidence. It distinguishes between hypotheses regarding membership in particular clades and those concerning entire phylogenetic topologies. Overall, the article highlights the importance of the bootstrap method in improving the understanding and interpretation of evolutionary relationships among species.","The recently-developed statistical method known as the ""bootstrap"" can be used to place confidence intervals on phylogenies. Itinvolves resampling points from one's own data, with replacement, tocreate a series of bootstrap samples of the same size as the original data. Each of these is analyzed, and the variation among the resulting estimates taken to indicate the size of the error involved in making estimates from the original data. In the case of phylogenies, it is argued that the proper method of resampling isto keep all of the original species while sampling characters with replacement, under the assumption that the characters have been independently drawn by the systematist and have evolved independently. Majority-rule consensus trees can be used to construct a phylogeny showing all of the inferred monophyletic groups that occurred in a majority of the bootstrap samples. If a group shows up 95% of the time or more, the evidence for it is taken to be statistically significant. Existing computer programs can be used to analyze different bootstrap samples by using weights on the characters, the weight of a character being how many times it was drawn in bootstrap sampling. When all characters are perfectly compatible, as envisioned by Hennig, bootstrap sampling becomes unnecessary; the bootstrap method would show significant evidence for a group if it is defined by three or more character"
Response SCH6,"The article ""Confidence Limits on Phylogenies: An Approach Using the Bootstrap"" details the use of the bootstrap statistical method to place confidence intervals on phylogenetic trees. This technique involves resampling data from one's own dataset, with replacement, to create a series of bootstrap samples of the same size as the original data. When applied to phylogenies, the recommended method of resampling is to retain all original species while resampling characters with replacement, assuming that these characters were independently chosen by the systematist and have evolved independently.

The bootstrap method, a non-parametric statistical approach, is primarily used for assessing confidence limits on phylogenies. It is particularly effective in testing the monophyly of individual clades. The article also suggests further applications of the bootstrap method for gaining insights into phylogenetic relationships, even when many clades do not exhibit strong support. Additionally, it distinguishes between hypotheses about membership in specific clades and hypotheses about entire phylogenetic topologies. Overall, the article underscores the importance of the bootstrap method in understanding and interpreting evolutionary relationships among species.","The recently-developed statistical method known as the ""bootstrap"" can be used to place confidence intervals on phylogenies. Itinvolves resampling points from one's own data, with replacement, tocreate a series of bootstrap samples of the same size as the original data. Each of these is analyzed, and the variation among the resulting estimates taken to indicate the size of the error involved in making estimates from the original data. In the case of phylogenies, it is argued that the proper method of resampling isto keep all of the original species while sampling characters with replacement, under the assumption that the characters have been independently drawn by the systematist and have evolved independently. Majority-rule consensus trees can be used to construct a phylogeny showing all of the inferred monophyletic groups that occurred in a majority of the bootstrap samples. If a group shows up 95% of the time or more, the evidence for it is taken to be statistically significant. Existing computer programs can be used to analyze different bootstrap samples by using weights on the characters, the weight of a character being how many times it was drawn in bootstrap sampling. When all characters are perfectly compatible, as envisioned by Hennig, bootstrap sampling becomes unnecessary; the bootstrap method would show significant evidence for a group if it is defined by three or more character"
Response SCH7,"The article ""Confidence Limits on Phylogenies: An Approach Using the Bootstrap"" focuses on a statistical technique known as the bootstrap method for estimating confidence intervals in phylogenetic analyses. This approach involves resampling data points from the original dataset with replacement to create a series of bootstrap samples of the same size as the original data. In the context of phylogenies, the method suggests retaining all original species while resampling characters with replacement, based on the premise that these characters were independently chosen and have independently evolved.

The bootstrap, as a non-parametric statistical method, is particularly useful for assessing the confidence limits on phylogenies. It is commonly employed to test the monophyly of individual clades. The article also discusses additional applications of the bootstrap method that provide important insights into phylogenetic relationships, even in cases where many clades do not receive strong support. Moreover, it differentiates between hypotheses about membership in specific clades and hypotheses about the entire phylogenetic topology. The article emphasizes the importance of the bootstrap method in improving the understanding and interpretation of evolutionary relationships among species.","The recently-developed statistical method known as the ""bootstrap"" can be used to place confidence intervals on phylogenies. Itinvolves resampling points from one's own data, with replacement, tocreate a series of bootstrap samples of the same size as the original data. Each of these is analyzed, and the variation among the resulting estimates taken to indicate the size of the error involved in making estimates from the original data. In the case of phylogenies, it is argued that the proper method of resampling isto keep all of the original species while sampling characters with replacement, under the assumption that the characters have been independently drawn by the systematist and have evolved independently. Majority-rule consensus trees can be used to construct a phylogeny showing all of the inferred monophyletic groups that occurred in a majority of the bootstrap samples. If a group shows up 95% of the time or more, the evidence for it is taken to be statistically significant. Existing computer programs can be used to analyze different bootstrap samples by using weights on the characters, the weight of a character being how many times it was drawn in bootstrap sampling. When all characters are perfectly compatible, as envisioned by Hennig, bootstrap sampling becomes unnecessary; the bootstrap method would show significant evidence for a group if it is defined by three or more character"
Response SCH8,"The article ""Confidence Limits on Phylogenies: An Approach Using the Bootstrap"" discusses the application of the bootstrap statistical method to establish confidence intervals on phylogenetic trees. This technique involves resampling data points from the original dataset with replacement, creating a series of bootstrap samples of the same size as the original data. In the context of phylogenetics, the appropriate resampling method is to maintain all original species while sampling characters with replacement. This is based on the assumption that these characters have been independently selected and have independently evolved.

The bootstrap method, as a non-parametric statistical tool, is mainly utilized to assess confidence limits on phylogenies. It is particularly effective in testing the monophyly of individual clades. Additionally, the article proposes further applications of the bootstrap method, offering insights into phylogenetic relationships, even when many clades are not confidently supported. The article also makes a distinction between hypotheses about membership in particular clades and hypotheses regarding entire phylogenetic topologies. Overall, it highlights the significance of the bootstrap method in enhancing the understanding and interpretation of evolutionary relationships among species.","The recently-developed statistical method known as the ""bootstrap"" can be used to place confidence intervals on phylogenies. Itinvolves resampling points from one's own data, with replacement, tocreate a series of bootstrap samples of the same size as the original data. Each of these is analyzed, and the variation among the resulting estimates taken to indicate the size of the error involved in making estimates from the original data. In the case of phylogenies, it is argued that the proper method of resampling isto keep all of the original species while sampling characters with replacement, under the assumption that the characters have been independently drawn by the systematist and have evolved independently. Majority-rule consensus trees can be used to construct a phylogeny showing all of the inferred monophyletic groups that occurred in a majority of the bootstrap samples. If a group shows up 95% of the time or more, the evidence for it is taken to be statistically significant. Existing computer programs can be used to analyze different bootstrap samples by using weights on the characters, the weight of a character being how many times it was drawn in bootstrap sampling. When all characters are perfectly compatible, as envisioned by Hennig, bootstrap sampling becomes unnecessary; the bootstrap method would show significant evidence for a group if it is defined by three or more character"
Response SCH9,"The article ""Confidence Limits on Phylogenies: An Approach Using the Bootstrap"" discusses the use of the bootstrap statistical method for establishing confidence intervals in phylogenetic analysis. This approach involves resampling points from the original data set with replacement to create new samples of the same size. In the context of phylogenies, it is suggested to retain all original species while sampling characters with replacement, under the assumption that these characters have been independently selected and have evolved independently.

The bootstrap method, a non-parametric statistical technique, is particularly utilized to assess confidence limits on phylogenies. It is commonly employed in testing the monophyly of individual clades. The article also explores additional applications of the bootstrap method, providing valuable insights into phylogeny, especially when many clades do not find strong support. It distinguishes between hypotheses about membership in specific clades and hypotheses about entire phylogenetic topologies. The article emphasizes the importance of the bootstrap method in enhancing understanding and interpretation of evolutionary relationships among species.","The recently-developed statistical method known as the ""bootstrap"" can be used to place confidence intervals on phylogenies. Itinvolves resampling points from one's own data, with replacement, tocreate a series of bootstrap samples of the same size as the original data. Each of these is analyzed, and the variation among the resulting estimates taken to indicate the size of the error involved in making estimates from the original data. In the case of phylogenies, it is argued that the proper method of resampling isto keep all of the original species while sampling characters with replacement, under the assumption that the characters have been independently drawn by the systematist and have evolved independently. Majority-rule consensus trees can be used to construct a phylogeny showing all of the inferred monophyletic groups that occurred in a majority of the bootstrap samples. If a group shows up 95% of the time or more, the evidence for it is taken to be statistically significant. Existing computer programs can be used to analyze different bootstrap samples by using weights on the characters, the weight of a character being how many times it was drawn in bootstrap sampling. When all characters are perfectly compatible, as envisioned by Hennig, bootstrap sampling becomes unnecessary; the bootstrap method would show significant evidence for a group if it is defined by three or more character"
Response SCH10,"The article ""Confidence Limits on Phylogenies: An Approach Using the Bootstrap"" discusses the use of the bootstrap method in phylogenetic analysis. This statistical technique involves resampling data points from the original dataset with replacement to create new sets of the same size. The method is applied to phylogenies by maintaining all original species while resampling characters with replacement, based on the assumption that these characters have been independently chosen and evolved.

The bootstrap approach, a non-parametric statistical method, is mainly used to assess the confidence limits of phylogenies. It is particularly effective for testing the monophyly of individual clades. The article also highlights additional applications of the bootstrap method in phylogenetics. These applications provide insights into phylogenetic relationships, particularly useful when many clades do not receive strong support. The article distinguishes between hypotheses regarding the membership of specific clades and those concerning entire phylogenetic topologies, underlining the bootstrap method's importance in understanding and interpreting evolutionary relationships among species.","The recently-developed statistical method known as the ""bootstrap"" can be used to place confidence intervals on phylogenies. Itinvolves resampling points from one's own data, with replacement, tocreate a series of bootstrap samples of the same size as the original data. Each of these is analyzed, and the variation among the resulting estimates taken to indicate the size of the error involved in making estimates from the original data. In the case of phylogenies, it is argued that the proper method of resampling isto keep all of the original species while sampling characters with replacement, under the assumption that the characters have been independently drawn by the systematist and have evolved independently. Majority-rule consensus trees can be used to construct a phylogeny showing all of the inferred monophyletic groups that occurred in a majority of the bootstrap samples. If a group shows up 95% of the time or more, the evidence for it is taken to be statistically significant. Existing computer programs can be used to analyze different bootstrap samples by using weights on the characters, the weight of a character being how many times it was drawn in bootstrap sampling. When all characters are perfectly compatible, as envisioned by Hennig, bootstrap sampling becomes unnecessary; the bootstrap method would show significant evidence for a group if it is defined by three or more character"
Response NCH1,"The article ""Confidence Limits on Phylogenies: An Approach Using the Bootstrap"" introduces a statistical method called ""bootstrap"" for assigning confidence intervals to phylogenies. This method involves resampling data points from the original dataset, with replacement, to create multiple bootstrap samples of the same size. These samples are then analyzed, and the variance among the resulting estimates indicates the error size in the original data estimates. In phylogenetic studies, the recommended resampling approach is to retain all original species while sampling characters with replacement, assuming these characters are independently selected and have evolved independently. Majority-rule consensus trees are utilized to build a phylogeny that includes all monophyletic groups appearing in the majority of bootstrap samples. A group is considered statistically significant if it appears in 95% or more of the samples. This method employs existing computer programs to analyze different bootstrap samples by assigning weights to characters based on their frequency in the bootstrap sampling. The bootstrap method becomes unnecessary if all characters are perfectly compatible, as in Hennig's vision. In such cases, the method would provide significant evidence for a group defined by three or more characters【8†source】.

【8†source】https://pubmed.ncbi.nlm.nih.gov/28561359/","The recently-developed statistical method known as the ""bootstrap"" can be used to place confidence intervals on phylogenies. Itinvolves resampling points from one's own data, with replacement, tocreate a series of bootstrap samples of the same size as the original data. Each of these is analyzed, and the variation among the resulting estimates taken to indicate the size of the error involved in making estimates from the original data. In the case of phylogenies, it is argued that the proper method of resampling isto keep all of the original species while sampling characters with replacement, under the assumption that the characters have been independently drawn by the systematist and have evolved independently. Majority-rule consensus trees can be used to construct a phylogeny showing all of the inferred monophyletic groups that occurred in a majority of the bootstrap samples. If a group shows up 95% of the time or more, the evidence for it is taken to be statistically significant. Existing computer programs can be used to analyze different bootstrap samples by using weights on the characters, the weight of a character being how many times it was drawn in bootstrap sampling. When all characters are perfectly compatible, as envisioned by Hennig, bootstrap sampling becomes unnecessary; the bootstrap method would show significant evidence for a group if it is defined by three or more character"
Response NCH2,"The article ""Confidence Limits on Phylogenies: An Approach Using the Bootstrap"" discusses a statistical method known as ""bootstrap"" for placing confidence intervals on phylogenies. This method involves resampling data points with replacement to create bootstrap samples of the same size as the original data. Each sample is analyzed to determine the error size in the original data estimates. In phylogenies, the resampling should keep all original species while sampling characters with replacement, assuming they are independently drawn and have evolved independently. Majority-rule consensus trees are used to construct a phylogeny, showing monophyletic groups appearing in most bootstrap samples. A group is statistically significant if it appears in 95% or more of the samples. Computer programs can analyze these samples by assigning weights to characters based on their frequency in bootstrap sampling. The bootstrap method becomes unnecessary when all characters are perfectly compatible, as in Hennig's vision, showing significant evidence for a group defined by three or more characters【8†source】.

【8†source】https://pubmed.ncbi.nlm.nih.gov/28561359/","The recently-developed statistical method known as the ""bootstrap"" can be used to place confidence intervals on phylogenies. Itinvolves resampling points from one's own data, with replacement, tocreate a series of bootstrap samples of the same size as the original data. Each of these is analyzed, and the variation among the resulting estimates taken to indicate the size of the error involved in making estimates from the original data. In the case of phylogenies, it is argued that the proper method of resampling isto keep all of the original species while sampling characters with replacement, under the assumption that the characters have been independently drawn by the systematist and have evolved independently. Majority-rule consensus trees can be used to construct a phylogeny showing all of the inferred monophyletic groups that occurred in a majority of the bootstrap samples. If a group shows up 95% of the time or more, the evidence for it is taken to be statistically significant. Existing computer programs can be used to analyze different bootstrap samples by using weights on the characters, the weight of a character being how many times it was drawn in bootstrap sampling. When all characters are perfectly compatible, as envisioned by Hennig, bootstrap sampling becomes unnecessary; the bootstrap method would show significant evidence for a group if it is defined by three or more character"
Response NCH3,"The article ""Confidence Limits on Phylogenies: An Approach Using the Bootstrap"" discusses the application of a statistical method known as the ""bootstrap"" for establishing confidence intervals in phylogenetic studies. This method involves resampling data points from the original dataset, with replacement, to create numerous bootstrap samples of the same size as the original data. Each sample is then analyzed, and the variation among the resulting estimates is used to determine the error size involved in making estimates from the original data.

In the context of phylogenies, the article advocates for a specific resampling method. This method maintains all original species while sampling characters with replacement. This approach is based on the assumption that the characters have been independently chosen by the systematist and have evolved independently.

The paper also introduces the use of majority-rule consensus trees. These trees are constructed to display all inferred monophyletic groups that appear in a majority of the bootstrap samples. If a group is present in 95% or more of the samples, it is considered statistically significant. Additionally, existing computer programs can analyze different bootstrap samples by assigning weights to characters, where the weight of a character is determined by how many times it appears in the bootstrap sampling.

The article further notes that when all characters are perfectly compatible, as per Hennig's vision, bootstrap sampling becomes unnecessary. In such cases, the bootstrap method would show significant evidence for a group if it is defined by three or more characters【6†source】【7†source】【8†source】【12†source】.

【6†source】https://pubmed.ncbi.nlm.nih.gov/28561359/#:~:text=The%20recently,APPROACH%20USING%20THE%20BOOTSTRAP 
【7†source】https://academic.oup.com/evolut/article/39/4/783/6872498#:~:text=The%20recently%E2%80%90developed%20statistical%20method%20known,variation%20among%20the%20resulting 
【8†source】https://europepmc.org/abstract/MED/28561359#:~:text=Majority,to%20analyze%20different%20bootstrap 
【12†source】https://pubmed.ncbi.nlm.nih.gov/28561359/","The recently-developed statistical method known as the ""bootstrap"" can be used to place confidence intervals on phylogenies. Itinvolves resampling points from one's own data, with replacement, tocreate a series of bootstrap samples of the same size as the original data. Each of these is analyzed, and the variation among the resulting estimates taken to indicate the size of the error involved in making estimates from the original data. In the case of phylogenies, it is argued that the proper method of resampling isto keep all of the original species while sampling characters with replacement, under the assumption that the characters have been independently drawn by the systematist and have evolved independently. Majority-rule consensus trees can be used to construct a phylogeny showing all of the inferred monophyletic groups that occurred in a majority of the bootstrap samples. If a group shows up 95% of the time or more, the evidence for it is taken to be statistically significant. Existing computer programs can be used to analyze different bootstrap samples by using weights on the characters, the weight of a character being how many times it was drawn in bootstrap sampling. When all characters are perfectly compatible, as envisioned by Hennig, bootstrap sampling becomes unnecessary; the bootstrap method would show significant evidence for a group if it is defined by three or more character"
Response NCH4,"The article ""Confidence Limits on Phylogenies: An Approach Using the Bootstrap"" by Joseph Felsenstein, published in the journal Evolution in July 1985, focuses on applying the bootstrap statistical method to phylogenetics. This method involves resampling points from one's own data, with replacement, to create a series of bootstrap samples of the same size as the original data. The variation among the resulting estimates is then analyzed to determine the size of the error in making estimates from the original data【6†source】【7†source】【8†source】【9†source】【14†source】.

In phylogenetics, the proper method of resampling is proposed to be keeping all of the original species while sampling characters with replacement. This approach assumes that the characters have been independently drawn by the systematist and have evolved independently. Majority-rule consensus trees are used to construct a phylogeny that shows all of the inferred monophyletic groups occurring in a majority of the bootstrap samples. A group is considered statistically significant if it appears in 95% or more of the samples. The article also mentions that existing computer programs can be utilized to analyze different bootstrap samples by assigning weights to the characters, based on how many times they were drawn in the bootstrap sampling【14†source】.

The bootstrap method is especially relevant when all characters are not perfectly compatible. In scenarios envisioned by Hennig where all characters are perfectly compatible, bootstrap sampling becomes unnecessary. However, the bootstrap method would still show significant evidence for a group if it is defined by three or more characters【14†source】.

【6†source】https://pubmed.ncbi.nlm.nih.gov/28561359/#:~:text=CONFIDENCE%20LIMITS%20ON%20PHYLOGENIES%3A%20AN,size%20as%20the%20original%20data 
【7†source】https://www.jstor.org/stable/2408678#:~:text=Abstract.%20,size%20as%20the%20original%20data 
【8†source】https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1558-5646.1985.tb00420.x#:~:text=The%20recently,data%2C%20with%20replacement%2C%20to%20cr 
【9†source】https://academic.oup.com/evolut/article/39/4/783/6872498#:~:text=CONFIDENCE%20LIMITS%20ON%20PHYLOGENIES%3A%20AN,July%201985%20Article%20history%20PDF 
【14†source】https://pubmed.ncbi.nlm.nih.gov/28561359/","The recently-developed statistical method known as the ""bootstrap"" can be used to place confidence intervals on phylogenies. Itinvolves resampling points from one's own data, with replacement, tocreate a series of bootstrap samples of the same size as the original data. Each of these is analyzed, and the variation among the resulting estimates taken to indicate the size of the error involved in making estimates from the original data. In the case of phylogenies, it is argued that the proper method of resampling isto keep all of the original species while sampling characters with replacement, under the assumption that the characters have been independently drawn by the systematist and have evolved independently. Majority-rule consensus trees can be used to construct a phylogeny showing all of the inferred monophyletic groups that occurred in a majority of the bootstrap samples. If a group shows up 95% of the time or more, the evidence for it is taken to be statistically significant. Existing computer programs can be used to analyze different bootstrap samples by using weights on the characters, the weight of a character being how many times it was drawn in bootstrap sampling. When all characters are perfectly compatible, as envisioned by Hennig, bootstrap sampling becomes unnecessary; the bootstrap method would show significant evidence for a group if it is defined by three or more character"
Response NCH5,"The article ""Confidence Limits on Phylogenies: An Approach Using the Bootstrap"" discusses the application of a statistical method known as ""bootstrap"" to establish confidence intervals in phylogenies. This method involves resampling data points with replacement to create multiple bootstrap samples, each of the same size as the original dataset. Each sample is analyzed, and the variation among the resulting estimates indicates the error size in making estimates from the original data.

In phylogenetic studies, the recommended resampling approach is to keep all original species while sampling characters with replacement, assuming that these characters have been independently drawn by the systematist and have evolved independently. Majority-rule consensus trees can be constructed to display all inferred monophyletic groups that occur in the majority of the bootstrap samples. A group is considered statistically significant if it appears in 95% or more of these samples.

Furthermore, the article suggests that existing computer programs can analyze various bootstrap samples using weights on the characters, where a character's weight reflects how often it was drawn in bootstrap sampling. Notably, bootstrap sampling becomes unnecessary when all characters are perfectly compatible, as envisaged by Hennig. In such cases, the bootstrap method would show significant evidence for a group if it is defined by three or more characters【6†source】【7†source】【8†source】【9†source】【13†source】.

【6†source】https://pubmed.ncbi.nlm.nih.gov/28561359/#:~:text=The%20recently,APPROACH%20USING%20THE%20BOOTSTRAP 
【7†source】https://www.jstor.org/stable/2408678#:~:text=size%20of%20the%20confidence%20limits,tree%20to%20be%20significantly%20worse 
【8†source】https://pubmed.ncbi.nlm.nih.gov/34933499/#:~:text=Abstract,found%20not%20to%20be 
【9†source】https://europepmc.org/abstract/MED/28561359#:~:text=Majority,to%20analyze%20different%20bootstrap 
【13†source】https://pubmed.ncbi.nlm.nih.gov/28561359/","The recently-developed statistical method known as the ""bootstrap"" can be used to place confidence intervals on phylogenies. Itinvolves resampling points from one's own data, with replacement, tocreate a series of bootstrap samples of the same size as the original data. Each of these is analyzed, and the variation among the resulting estimates taken to indicate the size of the error involved in making estimates from the original data. In the case of phylogenies, it is argued that the proper method of resampling isto keep all of the original species while sampling characters with replacement, under the assumption that the characters have been independently drawn by the systematist and have evolved independently. Majority-rule consensus trees can be used to construct a phylogeny showing all of the inferred monophyletic groups that occurred in a majority of the bootstrap samples. If a group shows up 95% of the time or more, the evidence for it is taken to be statistically significant. Existing computer programs can be used to analyze different bootstrap samples by using weights on the characters, the weight of a character being how many times it was drawn in bootstrap sampling. When all characters are perfectly compatible, as envisioned by Hennig, bootstrap sampling becomes unnecessary; the bootstrap method would show significant evidence for a group if it is defined by three or more character"
